eppochs;accuracy
10;0.5886666774749756
20;0.632777750492096
30;0.6830000281333923
40;0.6923333406448364
50;0.6998888850212097
60;0.7065555453300476
70;0.7084444165229797
80;0.7137777805328369
90;0.7102222442626953
100;0.7064444422721863
110;0.7151111364364624
120;0.710444450378418
130;0.7106666564941406
140;0.7114444375038147
150;0.7097777724266052
10;0.5995555520057678
20;0.6188889145851135
30;0.6651111245155334
40;0.6919999718666077
50;0.6942222118377686
60;0.6973333358764648
70;0.7032222151756287
80;0.7064444422721863
90;0.7047777771949768
100;0.7103333473205566
110;0.7070000171661377
120;0.7081111073493958
130;0.7099999785423279
140;0.7083333134651184
150;0.7106666564941406
